page_name,user_name,facebook_id,page_category,page_admin_top_country,page_description,page_created,likes_at_posting,followers_at_posting,post_created,post_created_date,post_created_time,type,total_interactions,likes,comments,shares,love,wow,haha,sad,angry,care,video_share_status,is_video_owner,post_views,total_views,total_views_for_all_crossposts,video_length,url,message,link,final_link,image_text,link_text,description,sponsor_id,sponsor_name,sponsor_category,overperforming_score_weighted_likes_1x_shares_1x_comments_1x_love_1x_wow_1x_haha_1x_sad_1x_angry_1x_care_1x,group_name,date_r
Wyoming Republican Party,WYGOP,100064626826442,POLITICAL_ORGANIZATION,US,"""Republican for a Reason""",2009-09-08T22:41:25Z,17762,18222,2021-09-16T13:00:44Z,2021-09-16,13:00:44,Photo,96910,51767,5882,32837,5259,101,228,187,54,595,NA,-,0,0,0,N/A,https://www.facebook.com/151752186809/posts/10159699599071810,NA,https://www.facebook.com/151752186809/photos/a.176795691809/10159699597506810/?type=3,NA,"No matter what Critical Race Theory teaches, over 366,000 Union soldiers died fighting so ALL PEOPLE could be free, regardless of their skin color. PURTN ENVOIKARLY WYOMING",NA,NA,NA,NA,NA,969.1,NA,2021-09-17T00:00:00Z
Hilos con Chems,hilosconchems41,100057098784192,PERSONAL_BLOG,MX,"son solo cosas de chems divertidas y otras más compartidas ,lamento si no doy créditos lo olvido",2020-07-02T22:38:29Z,NA,NA,2020-10-01T17:23:06Z,2020-10-01,17:23:06,Native Video,51821,6570,779,2086,5117,148,36762,40,111,208,owned,Yes,725421,739762,0,00:06:11,https://www.facebook.com/107128851064950/posts/149510403493461,Hilos con chems Me quiso robar mi iPhone Crt@hilos con chems,https://www.facebook.com/hilosconchems41/videos/2751714721816241/,NA,NA,NA,NA,NA,NA,NA,762.07,NA,2020-10-02T00:00:00Z
NA,arfsncrafts,111715023620356,NON_PROFIT,AU,A craft guild that creates items for animal rescue efforts around Australia. Part of the Animal Rescue Collective community. 100% volunteer run and all items are donated free of charge to rescues.,2019-11-17T02:08:49Z,NA,NA,2020-01-03T06:20:15Z,2020-01-03,06:20:15,Link,NA,2466,469,7900,606,20,0,738,2,0,NA,-,0,0,0,N/A,https://www.facebook.com/111715023620356/posts/134437194681472,"PLEASE SHARE - CRAFTERS - KNITTERS - SEWISTS - HOW YOU CAN HELP THE WILDLIFE IN THE BUSHFIRES The Animal Rescue Craft Guild , ARC and The Rescue Collective have for months now been running emergency response for Wildlife and Animals caught up in the fires. ARCCG has shipped tens of thousands of supportive custom items backed by tonnage of HERE IS HOW YOU CAN BE INVOLVED Crafters? We need funding. This buys us material and postage. You can donate here https://mkc.org.au/donations/arfsncrafts We're posting and creating thousands of items every week, entire colonies of bats and hundreds of Kangaroos, Koalas and every possible animal need our help. This is the largest animal rescue support project in Australian History, getting product and support to hundreds of Animal Resccuers, field workers and volunteers everywhere. Drop zones all the way from QLD to Tasmania. THIS FAQ TELLS YOU HOW YOU CAN HELP - Wishlist items we will need - How do donate money - How to volunteer as a transporter - How to volunteer as a safehouse, drop hub - How to volunteer as a field worker BUT this is only for people in the firezones who can be on the ground - How to volunteer as a craft maker and join the craft guild (EG, this means sewing, kitting, making supportive garments etc) - How to volunteer as a maker of hard product Anything else please comment BUT please understand we are absolutely flat out and we may not reply immediately. JOIN THE CHAT GROUPS National https://www.facebook.com/groups/mkcfreecycle https://www.facebook.com/therescuecollective WISHLIST ITEMS YOU CAN FIND THAT WE WILL NEED If you want to send product to us, here is the wishlist of items we need (Thanks Nicole) WISHLIST HAY AND CHAFF - oaten, meadow, teff ⭐️MACROPOD PELLETS OR MITAVITE ECONOMIX ⭐️HANGING BASKETS/PLANTERS - Wire with coir ⭐️BLANKETS - E.g. Kmart pet blankets ⭐️PET BOWLS 🌱BAXTER FLUIDS (point 9) 🐨BIOLAC FORMULAS 🌱LECTADE ORAL HYDRATION 🌱VETAFARM SPARK FLUIDS 🐨WOMBAROO IMPACT 🌱FUEL CARDS 🐨F10 VETERINARY DISINFECTANT 🌱METACAM, MOLOXICOM 🌱SYRINGES 1-60ML (cheap on ebay) 🐨VETAFARM CRITTA CARE 🌱ANIMAL WOUND GELS & SPRAYS 🐨NUTRIGEL 🐨ANIMAL FEEDING BOTTLES & TEATS 🌱VETWRAP (everyone needs vetwrap) ⭐️Domestic animal foo ⭐️SOFFBAN (Lots needed) ⭐️Chlorsig ⭐️IV Fluid infusion sets and canulars ⭐️Coffee ⭐️Micro Pourous Tape ⭐️Non adhesive dressings (like melonin) ⭐️PLASTIC BASINS ⭐️SANDPITS ⭐️JERRY CANS FOR WATER ⭐️10L CASKS OF WATER ⭐️*NEW* LITTER TRAYS (to use as water basins for smaller animals) You can order products or vouchers online from various pet & vet store. Email vouchers to: alli@mkc.org.au DROP OFF AND POSTAL ADDRESSES NSW - Currowan Fire NOWRA ARC ARC 98 Isa Road, Worrigee NSW, Australia WAGGA ARC Kildare Catholic College Kildare Street, Turvey Park NSW NSW - Gospers MOuntain Fire BLACKTOWN ARC - 15 Pembroke st Blacktown 2148. LITHGOW ARC - 25 Ordnance Avenue LITHGOW 2790 KATOOMBA ARC - 26 Frederica Street LAWSON NSW - TAREE/PORT MAC FIRES PORT MAC ARC - 112 ARRANBEE ROAD COFFS HARBOUR 9a Sea Breeze Place Boambee East 2452 QLD - Brisbane & NORTH NSW FIRES MT GRAVATT TRC 4/55 Temby Street TOOWOOMBA ARC 9 dixon court wilsonton heights ACT - Canberra SOUTH COAST FIRES HUGHES ARC - 15 Bamford St (drop in carport) MAWSON ARC - 5/191 Beasley street BELCONNEN ARC - Canberra Cat Vet, 16 Purdue St QUEANBEYAN ARC - 1/16 Broughton Place VIC - EAST GIPPSLAND FIRES CHURCHILL ARC - 8-12 Webster Street MELBOURNE ARC - 24 Bakers Parade, Brunswick West BAIRNSDALE ARC Jade Whittingham 1 Meadow CRT Bairnsdale TAS - Fingal/Manganna/Glen Lusk fires NEWSTEAD Lesley ARC PO Box 145 Newstead Tasmania 725 TAROONA Trish ARC 11 kelvedon Avenue Taroona 7053 FOR MORE DROP OFF LOCATIONS VISIT HERE https://rescuedpets.com.au/drop-off-locations/ NOMINATE AS A DROP OFF HUB OR SAFEHOUSE https://rescuedpets.com.au/add-listing/ Thank you for being part of this rescue program, here is how you can help. VOLUNTEER TO FEED ANIMALS IN THE FIREZONES Please complete this if you are able to drive to the places where help is needed and work with the local rescue teams. https://rescuedpets.com.au/macrofooddrops/ REQUEST HELP FOR YOUR ORG Please complete this if you are actually feeding or helping animals. https://rescuedpets.com.au/support/ NOMINATE AS A DROP OFF HUB OR SAFEHOUSE https://rescuedpets.com.au/add-listing/ NOMINATE AS A TRANSPORTER (UTES/VANS/TRUCKS NEEDED, not small cars) https://rescuedpets.com.au/transporter/ JOIN THE CRAFT GUILD TO MAKE THINGS THAT HELP https://www.facebook.com/groups/arfsncrafts/ JOIN THE MAKERS GUILD TO BUILD POSSUM BOXES AND HARD TO CUSTOMISE FEED/WATER ITEMS https://www.facebook.com/groups/arcmakers/ Anything else please comment below but please know what you can offer and how you can help! We need it. Time is our biggest challenge. WHO IS BEHIND ALL THIS The Rescue Collective and Animal Rescue Collective (ARC) are all one team, alongside many rescue groups helping the firezones across 5 states, backed by a registered (truncated)",https://mkc.org.au/donations/arfsncrafts,NA,NA,Help make healing bedding/bandaging for thousands of burned animals,"We are making thousands of marsupial pouches, bat wraps and other items",NA,NA,NA,642.16,Animal Rescue Cooperative Craft Guild,2020-01-03T00:00:00Z
NA,ShopWeThePeople,108029674299216,LOCAL,US,"We The People have You The People in mind. We’re all about conservative values, which is reflected in our merchandise-from apparel to our VIP Collection! It is our mission to instill a sense of community and inclusion where we can all come together.",2020-06-25T15:32:20Z,32746,32894,2021-06-20T14:00:01Z,2021-06-20,14:00:01,Native Video,88209,49957,2906,25738,8964,88,273,29,55,199,owned,Yes,509632,715716,0,00:02:47,https://www.facebook.com/108029674299216/posts/313598390409009,“How do I have two medical degrees if I’m sitting here oppressed?”,https://www.facebook.com/ShopWeThePeople/videos/195863822437483/,NA,NA,Father Obliterates Critical Race Theory During an Illinois School Board Meeting,NA,NA,NA,NA,600.06,We The People,2021-06-21T00:00:00Z
NA,By.EnergyRacing,945206128947390,CAR,TH,จำหน่ายอะไหล่แต่งมอเตอร์์ไซค์,2016-12-12T16:23:05Z,NA,NA,2020-01-22T22:00:55Z,2020-01-22,22:00:55,Photo,NA,10598,23,186,323,48,4,1,0,16,NA,-,0,0,0,N/A,https://www.facebook.com/945206128947390/posts/1804717549662906,ชุดท่อสลิปออนสแตนเลส 2.5 นิ้ว ZX6R ปลายท่อทรง CRT สแตนเลสสีรุ้ง โลโก้เลเซอร์ - สลิปออนสแตนเลส งานดัดขนาด 2.5 นิ้ว - ปลายท่อยาว 9 นิ้ว กว้าง 4 นิ้ว คอท่อ 2.5 นิ้ว - มีใส้สูตร 2 นิ้ว - ราคา 3500 บาท จัดส่ง EMS หรือ เคอรี่ฟรี - มีบริการเก็บเงินปลายทางได้ สนใจติดต่อได้ที่ Line : @by_energy (มี@ด้วยครับ) Tel : 095-2538363 Facebook : M.me/by:=:https://www.messenger.com/login.php?next=https%3A%2F%2Fwww.messenger.com%2Ft%2F567885166728782%2F%3Fmessaging_source%3Dsource%253Apages%253Amessage_shortlink.energyRacing #EnergyRacing #อะไหล่แต่งมอเตอร์ไซค์ #อะไหล่แต่งจักรยานยนต์ #Bigbike #Minibike #บิ๊กไบค์ #ปลายท่อกระป๋องทรงcrt #ท่อแต่งzx6r,https://www.facebook.com/By.EnergyRacing/photos/a.995099500624719/1804717162996278/?type=3,NA,NA,Photos from Energy Racing อะไหล่แต่งมอเตอร์ไซค์'s post,NA,NA,NA,NA,589.42,Energy Racing อะไหล่แต่งมอเตอร์ไซค์,2020-01-23T00:00:00Z
NA,arfsncrafts,111715023620356,NON_PROFIT,AU,A craft guild that creates items for animal rescue efforts around Australia. Part of the Animal Rescue Collective community. 100% volunteer run and all items are donated free of charge to rescues.,2019-11-17T02:08:49Z,NA,NA,2020-01-04T05:37:54Z,2020-01-04,05:37:54,Link,NA,2504,594,5879,614,8,0,596,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/111715023620356/posts/134770054648186,"PLEASE SHARE - CRAFTERS - KNITTERS - SEWISTS - HOW YOU CAN HELP THE WILDLIFE IN THE BUSHFIRES The Animal Rescue Craft Guild , Animal Rescue Collective (ARC) and The Rescue Collective​ have for months now been running emergency response for Wildlife and Animals caught up in the fires. ARCCG has shipped tens of thousands of supportive custom items backed by tonnage of HERE IS HOW YOU CAN BE INVOLVED Crafters? We need funding. This buys us material and postage. You can donate here https://mkc.org.au/donations/arfsncrafts We're posting and creating thousands of items every week, entire colonies of bats and hundreds of Kangaroos, Koalas and every possible animal need our help. This is the largest animal rescue support project in Australian History, getting product and support to hundreds of Animal Resccuers, field workers and volunteers everywhere. Drop zones all the way from QLD to Tasmania. THIS FAQ TELLS YOU HOW YOU CAN HELP - Wishlist items we will need - How do donate money - How to volunteer as a transporter - How to volunteer as a safehouse, drop hub - How to volunteer as a field worker BUT this is only for people in the firezones who can be on the ground - How to volunteer as a craft maker and join the craft guild (EG, this means sewing, kitting, making supportive garments etc) - How to volunteer as a maker of hard product Anything else please comment BUT please understand we are absolutely flat out and we may not reply immediately. JOIN THE CHAT GROUPS National https://www.facebook.com/groups/mkcfreecycle https://www.facebook.com/therescuecollective WISHLIST ITEMS YOU CAN FIND THAT WE WILL NEED If you want to send product to us, here is the wishlist of items we need (Thanks Nicole) WISHLIST HAY AND CHAFF - oaten, meadow, teff ⭐️MACROPOD PELLETS OR MITAVITE ECONOMIX ⭐️HANGING BASKETS/PLANTERS - Wire with coir ⭐️BLANKETS - E.g. Kmart pet blankets ⭐️PET BOWLS 🌱BAXTER FLUIDS (point 9) 🐨BIOLAC FORMULAS 🌱LECTADE ORAL HYDRATION 🌱VETAFARM SPARK FLUIDS 🐨WOMBAROO IMPACT 🌱FUEL CARDS 🐨F10 VETERINARY DISINFECTANT 🌱METACAM, MOLOXICOM 🌱SYRINGES 1-60ML (cheap on ebay) 🐨VETAFARM CRITTA CARE 🌱ANIMAL WOUND GELS & SPRAYS 🐨NUTRIGEL 🐨ANIMAL FEEDING BOTTLES & TEATS 🌱VETWRAP (everyone needs vetwrap) ⭐️Domestic animal foo ⭐️SOFFBAN (Lots needed) ⭐️Chlorsig ⭐️IV Fluid infusion sets and canulars ⭐️Coffee ⭐️Micro Pourous Tape ⭐️Non adhesive dressings (like melonin) ⭐️PLASTIC BASINS ⭐️SANDPITS ⭐️JERRY CANS FOR WATER ⭐️10L CASKS OF WATER ⭐️*NEW* LITTER TRAYS (to use as water basins for smaller animals) You can order products or vouchers online from various pet & vet store. Email vouchers to: alli@mkc.org.au DROP OFF AND POSTAL ADDRESSES NSW SOUTH COAST - Currowan Fire NOWRA ARC ARC 98 Isa Road, Worrigee NSW, Australia WAGGA WAGGA Rod Clarke 106 Trail Street WAGGA WAGGA 34 Evans Street WAGGA ARC Kildare Catholic College Kildare Street, Turvey Park NSW NSW - Gospers MOuntain Fire BLACKTOWN ARC - 15 Pembroke st Blacktown 2148. LITHGOW ARC - 25 Ordnance Avenue LITHGOW 2790 KATOOMBA ARC - 26 Frederica Street LAWSON NSW - TAREE/PORT MAC FIRES PORT MAC ARC - 112 ARRANBEE ROAD COFFS HARBOUR 9a Sea Breeze Place Boambee East 2452 SOUTH AUSTRALIA - CUDLEE CREEK/KERSBROOK FIRES GlENCOE (RURAL) 39 woolshed Rd (Rebecca) ADELAIDE Salisbury EAST, 8 Snowden Avenue CRAIGMORE 37 Manchester Cct , Craigmore , SA 5114 QLD - Brisbane & NORTH NSW FIRES MT GRAVATT TRC 4/55 Temby Street TOOWOOMBA ARC 9 dixon court wilsonton heights ACT - Canberra SOUTH COAST FIRES HUGHES ARC - 15 Bamford St (drop in carport) THROSBY - 5 Bandicoot street GILMORE - 47 May Maxwell Cres QUEANBEYAN ARC - 1/16 Broughton Place VIC - EAST GIPPSLAND FIRES CHURCHILL ARC - 8-12 Webster Street MELBOURNE ARC - 24 Bakers Parade, Brunswick West BAIRNSDALE ARC Jade Whittingham 1 Meadow CRT Bairnsdale TAS - Fingal/Manganna/Glen Lusk fires NEWSTEAD Lesley ARC PO Box 145 Newstead Tasmania 725 TAROONA Trish ARC 11 kelvedon Avenue Taroona 7053 FOR MORE DROP OFF LOCATIONS VISIT HERE https://rescuedpets.com.au/drop-off-locations/ NOMINATE AS A DROP OFF HUB OR SAFEHOUSE https://rescuedpets.com.au/add-listing/ Thank you for being part of this rescue program, here is how you can help. VOLUNTEER TO FEED ANIMALS IN THE FIREZONES Please complete this if you are able to drive to the places where help is needed and work with the local rescue teams. https://rescuedpets.com.au/macrofooddrops/ REQUEST HELP FOR YOUR ORG Please complete this if you are actually feeding or helping animals. https://rescuedpets.com.au/support/ NOMINATE AS A DROP OFF HUB OR SAFEHOUSE https://rescuedpets.com.au/add-listing/ NOMINATE AS A TRANSPORTER (UTES/VANS/TRUCKS NEEDED, not small cars) https://rescuedpets.com.au/transporter/ JOIN THE CRAFT GUILD TO MAKE THINGS THAT HELP https://www.facebook.com/groups/arfsncrafts/ JOIN THE MAKERS GUILD TO BUILD POSSUM BOXES AND HARD TO CUSTOMISE FEED/WATER ITEMS https://www.facebook.com/groups/arcmakers/ Anything else please comment below but please know what you can (truncated)",https://mkc.org.au/donations/arfsncrafts,NA,NA,Help make healing bedding/bandaging for thousands of burned animals,"We are making thousands of marsupial pouches, bat wraps and other items",NA,NA,NA,536.58,Animal Rescue Cooperative Craft Guild,2020-01-04T00:00:00Z
NA,thekidsguides,104856814505092,EDUCATION_COMPANY,US,The Kids Guide gives kids a brand-new way to learn about the events that shape America and our history. Visit thekidsguide.com to learn more!,2020-03-30T14:46:11Z,10284,11477,2021-05-18T13:59:12Z,2021-05-18,13:59:12,Photo,10776,439,3618,379,12,28,198,113,5986,3,NA,-,0,0,0,N/A,https://www.facebook.com/104856814505092/posts/305482247775880,"Parents, this issue isn't black and white. As an education company, we care very much about your opinions. So, do you think Critical Race Theory belongs in schools? If so, why? If not, why not? Please share your comments below.",https://www.facebook.com/thekidsguides/photos/a.121641372826636/305481471109291/?type=3,NA,CRITICAL RACE THEORY,NA,NA,NA,NA,NA,489.82,The Kids Guide,2021-05-19T00:00:00Z
NA,KUSINews,64709311067,BROADCASTING_MEDIA_PRODUCTION,US,San Diego's More Local News Station. If you see news happening call (858) 571-6397 or email news@kusi.com,2009-02-05T00:55:57Z,186449,202824,2021-06-03T09:51:05Z,2021-06-03,09:51:05,Native Video,127614,66012,5883,20980,33428,18,67,12,17,1197,owned,Yes,539836,0,0,00:00:59,https://www.facebook.com/64709311067/posts/10159027539411068,"Kory Yeshua teaches his daughter to treat people based on who they are, not the color of their skin, as he fights teaching Critical Race Theory in school. The father explains, ""children do not see skin color, man. They love everybody."" They will join #KUSINews tonight in Good Evening San Diego.",https://www.facebook.com/KUSINews/videos/10159027539391068/,NA,NA,Kory Yeshua's video with daughter against Critical Race Theory goes viral,NA,NA,NA,NA,457.4,KUSI News,2021-06-03T00:00:00Z
Vlad Placinta,vladplacintadumitru,1791388504495732,ENTREPRENEUR,RO,"În Asociația „Salvează o Inimă”, ineditul nu este doar faptul că salvăm copii cu malformații grave, ci însăși modul în care această asociație a luat ființă și a crescut într-un mod impresionant, de unde lumea se aștepta mai puțin.",2018-01-23T11:30:35Z,NA,NA,2020-10-05T14:42:12Z,2020-10-05,14:42:12,Photo,128821,4219,2038,119818,45,11,1,2573,3,113,NA,-,0,0,0,N/A,https://www.facebook.com/1791388504495732/posts/2455293714771871,"VĂ ROG CU LACRIMI ÎN OCHI SĂ ÎL SALVĂM PE ANDREI ESTE TATĂL A DOI COPII MINORI DĂ UN SHARE DUREAZĂ DOAR DOUĂ SECUNDE ȘI E GRATUIT DONEAZĂ PENTRU ANDREI: https://bit.ly/36uF2Di:=:https://salveazaoinima.ro/andrei-caracu/#utm_source=post_andrei_caracu_04.10.2020&utm_medium=post&utm_campaign=post_andrei_caracu_04.10.2020&utm_term=post_andrei_caracu_04.10.2020&utm_content=post_andrei_caracu_04.10.2020 Ajută-l pe Andrei să se opereze. Noi suntem deja la Istambul, am facut toate invistigatiile necesare si avem nevoie de suma de 26000 de dolari pentru a face interventia chirurgicala. din pacate chimia si radioterapia nu ne ajută ,unica scapare la viață e sa facem o interventie chirurgicala. Donații se pot face: Denumire entitate: Asociatia “SALVEAZA O INIMA” Cod de inregistrare fiscala: 31015982 Cont (IBAN) bancar: Cont RON: RO 05 BTRL 0070 1205 W828 70 XX Cont Euro: RO 28 BTRL EUR CRT 00 W828 7001 CONT USD: RO 68 BTRL USD CRT 00 W828 7001 COD SWIFT: BTRLRO22 COD BIC: BTRL Banca Transilvania Botosani Vă rugăm să specificați pentru transfer bancar numele de familie -Caracu",https://www.facebook.com/vladplacintadumitru/photos/a.1792403521060897/2455293378105238/?type=3,NA,NA,NA,NA,NA,NA,NA,447.3,NA,2020-10-06T00:00:00Z
NA,Cities929,109907098202,BROADCASTING_MEDIA_PRODUCTION,US,The News and Talk of Bloomington-Normal,2009-06-11T14:29:56Z,6560,7338,2021-06-09T23:04:48Z,2021-06-09,23:04:48,Native Video,14286,2581,787,8855,1994,13,11,2,7,36,owned,Yes,56853,293174,0,00:06:10,https://www.facebook.com/109907098202/posts/10159878268783203,"Ty Smith (aka Modern Renaissance Man )from ""Cancel This"" on Cities 92.9 spoke at the D87 school board meeting. He was met with opposing comments from students and other public commentators. Ty is a parent and says we need to protect our children when it comes to Critical Race Theory in schools.",https://www.facebook.com/Cities929/videos/617180676344270/,NA,NA,NA,NA,NA,NA,NA,446.44,Cities 92.9,2021-06-10T00:00:00Z
